foreign_id,stage_l,discharge_l
ELKRN01,846.404,0
ELKRN01,848.704,7.13356
ELKRN01,849.672,35.7384
ELKRN01,850.315,71.5122
ELKRN01,850.781,107.251
ELKRN01,851.148,143.024
ELKRN01,852.474,376.066
ELKRN01,853.163,598.089
ELKRN01,853.963,931.107
ELKRN01,854.498,1210.16
ELKRN01,854.997,1510.2
ELKRN01,855.44,1820.22
NFCTFSH01,691.207,0
NFCTFSH01,693.727,288.486
NFCTFSH01,694.888,710.531
NFCTFSH01,695.682,1094.97
NFCTFSH01,696.657,1657.85
NFCTFSH01,697.257,2121
NFCTFSH01,697.805,2614.98
NFCTFSH01,698.281,3121.39
LTLSIOUX01,1162.93,0
LTLSIOUX01,1174.74,12197.6
LTLSIOUX01,1177.04,21185.8
LTLSIOUX01,1178.42,27596.4
LTLSIOUX01,1180.01,36008
LTLSIOUX01,1181.07,42352.7
LTLSIOUX01,1182.09,48946.8
LTLSIOUX01,1183.03,55480.4
LTLSIOUX04,1365.75,0
LTLSIOUX04,1375.38,1879.83
LTLSIOUX04,1378.22,3606.02
LTLSIOUX04,1379.93,4923.39
LTLSIOUX04,1381.94,6790.3
LTLSIOUX04,1383.27,8239.33
LTLSIOUX04,1384.51,9677.77
LTLSIOUX04,1385.68,11278.3
DRYRNCRK01,847.08,0
DRYRNCRK01,852.172,878.7
DRYRNCRK01,853.927,1950.54
DRYRNCRK01,854.987,2859.32
DRYRNCRK01,856.211,4141.81
DRYRNCRK01,857.06,5168.02
DRYRNCRK01,857.877,6250.24
DRYRNCRK01,858.642,7346.79
LTLSIOUX02,1303.9,0
LTLSIOUX02,1313.88,7805.35
LTLSIOUX02,1316.76,14133.4
LTLSIOUX02,1318.37,18782.7
LTLSIOUX02,1320.25,24946.3
LTLSIOUX02,1321.5,29637.6
LTLSIOUX02,1322.72,34517.1
LTLSIOUX02,1323.86,39366.7
FLOYDRV01,1189.93,0
FLOYDRV01,1201.76,5139.91
FLOYDRV01,1203.53,9676.75
FLOYDRV01,1204.46,13103.6
FLOYDRV01,1205.5,17694.8
FLOYDRV01,1206.24,21220.5
FLOYDRV01,1206.85,24893.2
FLOYDRV01,1207.4,28555
FLOYDRV02,1366.44,0
FLOYDRV02,1374.26,1834.39
FLOYDRV02,1375.36,3801.87
FLOYDRV02,1375.96,5392.02
FLOYDRV02,1376.68,7585.48
FLOYDRV02,1377.17,9309.76
FLOYDRV02,1377.63,11117.1
FLOYDRV02,1378.06,12935.3
WFLTLSIOUX01,1131.17,0
WFLTLSIOUX01,1144.86,3706.42
WFLTLSIOUX01,1147.47,7193.99
WFLTLSIOUX01,1148.31,9885.71
WFLTLSIOUX01,1149.14,13524
WFLTLSIOUX01,1149.67,16338.1
WFLTLSIOUX01,1150.17,19274.4
WFLTLSIOUX01,1150.63,22209.7
MAPLERV02,1254.33,0
MAPLERV02,1262.77,3432.59
MAPLERV02,1264.3,6710.39
MAPLERV02,1265.15,9253.01
MAPLERV02,1266.16,12697.1
MAPLERV02,1266.87,15365.6
MAPLERV02,1267.55,18151.1
MAPLERV02,1268.19,20937.6
IOWARV01,621.391,0
IOWARV01,629.688,15633.5
IOWARV01,631.706,26532.3
IOWARV01,632.91,34177.6
IOWARV01,634.324,44157.7
IOWARV01,635.299,51649.9
IOWARV01,636.253,59436.1
IOWARV01,637.152,67139.3
NFMQKTA01,808.005,0
NFMQKTA01,816.355,3180.16
NFMQKTA01,817.917,6221
NFMQKTA01,818.684,8549.79
NFMQKTA01,819.514,11623.3
NFMQKTA01,820.079,14100.1
NFMQKTA01,820.61,16687.1
NFMQKTA01,821.129,19277.5
PRAIRIECRK01,739.862,0
PRAIRIECRK01,748.76,2877.09
PRAIRIECRK01,750.64,5717.8
PRAIRIECRK01,751.591,7947.04
PRAIRIECRK01,752.897,10981.7
PRAIRIECRK01,753.451,13342.6
PRAIRIECRK01,753.98,15809.4
PRAIRIECRK01,754.462,18281
RAPIDTRB01,753.215,0
RAPIDTRB01,757.805,276.373
RAPIDTRB01,758.927,683.409
RAPIDTRB01,759.36,1055.2
RAPIDTRB01,759.813,1600.39
RAPIDTRB01,760.079,2049.45
RAPIDTRB01,760.315,2528.64
RAPIDTRB01,760.531,3020.15
MAPLERV01,1198.06,0
MAPLERV01,1209.29,4775.28
MAPLERV01,1213.53,9052.17
MAPLERV01,1215.22,12298.4
MAPLERV01,1216.13,16656.1
MAPLERV01,1216.66,20007.9
MAPLERV01,1217.12,23500.6
MAPLERV01,1217.55,26984.9
MADCRK01,569.521,0
MADCRK01,575.069,609.566
MADCRK01,577.185,1400.05
MADCRK01,578.392,2086.32
MADCRK01,579.649,3066.34
MADCRK01,580.305,3857.63
MADCRK01,580.814,4695.01
MADCRK01,581.339,5546.7
GENEVACR01,591.437,0
GENEVACR01,593.527,209.275
GENEVACR01,595.253,531.097
GENEVACR01,596.148,830.318
GENEVACR01,597.018,1273.31
GENEVACR01,597.615,1640.79
GENEVACR01,598.163,2034.2
GENEVACR01,598.642,2438.94
WBFLOYDRV01,1243.14,0
WBFLOYDRV01,1252.56,2891.99
WBFLOYDRV01,1253.79,5744.64
WBFLOYDRV01,1254.44,7982.53
WBFLOYDRV01,1255.11,11028.5
WBFLOYDRV01,1255.59,13397.8
WBFLOYDRV01,1256,15873.5
WBFLOYDRV01,1256.37,18353.8
OCHYDNRV01,1358.37,0
OCHYDNRV01,1366.07,3586.13
OCHYDNRV01,1367.12,6982.03
OCHYDNRV01,1367.57,9608.66
OCHYDNRV01,1368.18,13162.2
OCHYDNRV01,1368.64,15912.8
OCHYDNRV01,1369.08,18783.3
OCHYDNRV01,1369.5,21653.8
WFKLTSIOUX01,1391.93,0
WFKLTSIOUX01,1397.54,1242.41
WFKLTSIOUX01,1398.61,2459.91
WFKLTSIOUX01,1399.22,3408.85
WFKLTSIOUX01,1399.95,4765.71
WFKLTSIOUX01,1400.45,5831.48
WFKLTSIOUX01,1400.91,6898.37
WFKLTSIOUX01,1401.37,8080.91
LTLSIOUX05,1387.53,0
LTLSIOUX05,1392.86,968.611
LTLSIOUX05,1394.07,1954.67
LTLSIOUX05,1394.77,2732.97
LTLSIOUX05,1395.62,3852.09
LTLSIOUX05,1396.19,4737.39
LTLSIOUX05,1396.73,5628.13
LTLSIOUX05,1397.28,6613.45
CTFSHCR01,606.955,0
CTFSHCR01,617.1,7151.22
CTFSHCR01,628.15,29762.5
CTFSHCR01,629.583,38121.5
CTFSHCR01,631.161,49006.2
CTFSHCR01,632.615,57157.8
CTFSHCR01,633.593,65630.9
CTFSHCR01,634.534,74007.2
BLCKHWK01,552.362,0
BLCKHWK01,555.748,459.267
BLCKHWK01,557.493,1083.07
BLCKHWK01,558.616,1634.61
BLCKHWK01,559.948,2429.61
BLCKHWK01,560.833,3076.08
BLCKHWK01,561.44,3762.14
BLCKHWK01,561.991,4462.01
GRNGRCR01,607.71,0
GRNGRCR01,610.856,591.521
GRNGRCR01,612.323,1362.44
GRNGRCR01,612.831,2032.71
GRNGRCR01,613.504,2991.51
GRNGRCR01,614.016,3765.6
GRNGRCR01,614.58,4585.61
GRNGRCR01,615.144,5419.74
DUCKCR01,611.089,0
DUCKCR01,618.304,1401.29
DUCKCR01,620.932,2978.12
DUCKCR01,622.018,4275.16
DUCKCR01,622.799,6078.93
DUCKCR01,623.294,7506.03
DUCKCR01,623.727,9004.99
DUCKCR01,624.091,10516.8
BRSHYCR01,1189.16,0
BRSHYCR01,1191.04,137.021
BRSHYCR01,1193.65,685.104
BRSHYCR01,1195.79,1370.21
BRSHYCR01,1197.47,2055.31
BRSHYCR01,1199.35,2740.42
BRSHYCR01,1202.42,5260.83
BRSHYCR01,1204.5,7292.13
BRSHYCR01,1206.81,9960.85
BRSHYCR01,1207.72,11948.7
BRSHYCR01,1208.38,14073.2
BRSHYCR01,1208.95,16323.1
BVRCR01,904.718,0
BVRCR01,906.266,192.076
BVRCR01,909.045,960.453
BVRCR01,911.421,1920.94
BVRCR01,913.248,2881.39
BVRCR01,914.655,3841.85
BVRCR01,916.936,8108.74
BVRCR01,917.848,11436.2
BVRCR01,918.652,15908.5
BVRCR01,919.154,19347.3
BVRCR01,919.58,22910.5
BVRCR01,919.931,26553.4
CLRCRK03,758.366,0
CLRCRK03,766.818,795.463
CLRCRK03,768.192,1553.24
CLRCRK03,768.822,2202.33
CLRCRK03,769.475,3095.15
CLRCRK03,769.915,3752.01
CLRCRK03,770.338,4524.48
CLRCRK03,770.673,5240.17
CLRCRKS01,741.503,0
CLRCRKS01,745.325,488.79
CLRCRKS01,747.08,941.418
CLRCRKS01,747.369,1296.61
CLRCRKS01,747.644,1809.31
CLRCRKS01,747.822,2217.55
CLRCRKS01,747.989,2657.57
CLRCRKS01,748.153,3117.65
DRYCR01,735.988,0
DRYCR01,743.438,1063.18
DRYCR01,745.046,2141.02
DRYCR01,745.351,2996.66
DRYCR01,746.775,4181.93
DRYCR01,747.251,5103.64
DRYCR01,747.95,6093.9
DRYCR01,748.606,7118.17
EFDSMNS01,1083.71,0
EFDSMNS01,1094.32,3493.72
EFDSMNS01,1095.89,6720.84
EFDSMNS01,1096.69,9224.83
EFDSMNS01,1097.59,12696.7
EFDSMNS01,1098.23,15467.3
EFDSMNS01,1098.83,18377
EFDSMNS01,1099.41,21428.8
ENDWY01,968.428,0
ENDWY01,977.93,4193.65
ENDWY01,981.601,7996.12
ENDWY01,983.707,10849.6
ENDWY01,985.502,14519.2
ENDWY01,986.414,17209.3
ENDWY01,987.165,20062.9
ENDWY01,987.792,22870
ENISH03,986.677,0
ENISH03,998.671,11208.9
ENISH03,1000.7,19840.5
ENISH03,1001.45,25737
ENISH03,1002.18,33186.2
ENISH03,1002.66,38746.2
ENISH03,1003.12,44375.3
ENISH03,1003.55,50072.7
ENISH04,1047.31,0
ENISH04,1063.57,10085.2
ENISH04,1064.78,17851.6
ENISH04,1067.26,23156.9
ENISH04,1068.7,29859.6
ENISH04,1069.16,34862.3
ENISH04,1070.05,39927.1
ENISH04,1071,45053
HRGVCR01,980.138,0
HRGVCR01,981.654,150.193
HRGVCR01,984.442,750.931
HRGVCR01,986.421,1501.83
HRGVCR01,987.657,2252.72
HRGVCR01,988.56,3003.65
HRGVCR01,990.423,5906.84
HRGVCR01,991.07,8139.54
HRGVCR01,991.742,11055.4
HRGVCR01,992.146,13217.5
HRGVCR01,992.516,15524
HRGVCR01,992.861,17827.7
INDIAN01,1037.16,0
INDIAN01,1039.46,64.6965
INDIAN01,1041.98,323.482
INDIAN01,1043.74,646.965
INDIAN01,1045.08,970.447
INDIAN01,1046.19,1293.93
INDIAN01,1050.26,2898.63
INDIAN01,1052.9,4747
INDIAN01,1054.12,6635.98
INDIAN01,1054.8,8605.48
INDIAN01,1055.42,10881.2
INDIAN01,1055.99,13507.5
KEGCR01,997.631,0
KEGCR01,1000.14,135.008
KEGCR01,1004.11,675.111
KEGCR01,1006.81,1350.22
KEGCR01,1008.8,2025.37
KEGCR01,1010.44,2700.48
KEGCR01,1014.31,5879.04
KEGCR01,1015.27,7985.28
KEGCR01,1016.3,10856.5
KEGCR01,1016.89,12987.3
KEGCR01,1017.42,15160.7
KEGCR01,1017.93,17422.4
LAKECR01,1101.45,0
LAKECR01,1101.74,43.9314
LAKECR01,1103.33,219.657
LAKECR01,1104.65,439.314
LAKECR01,1105.61,658.972
LAKECR01,1106.39,878.629
LAKECR01,1108.21,1612.82
LAKECR01,1109.15,2156.31
LAKECR01,1110.21,2878.15
LAKECR01,1110.82,3425.17
LAKECR01,1111.39,3990.91
LAKECR01,1111.89,4570.78
LTLWLNT01,896.237,0
LTLWLNT01,896.785,10.4531
LTLWLNT01,897.864,52.2657
LTLWLNT01,898.694,104.531
LTLWLNT01,899.311,156.797
LTLWLNT01,899.82,209.063
LTLWLNT01,901.25,399.409
LTLWLNT01,902.073,555.853
LTLWLNT01,902.913,777.629
LTLWLNT01,903.186,918.888
LTLWLNT01,903.465,1130.42
LTLWLNT01,903.911,1326.77
MQKTARV02,840.171,0
MQKTARV02,849.577,5210.4
MQKTARV02,852.287,10229.1
MQKTARV02,853.527,14323
MQKTARV02,854.859,20187.5
MQKTARV02,855.784,24698.7
MQKTARV02,856.578,29209.9
MQKTARV02,857.585,35525.5
NRCCNRV03,1191.49,0
NRCCNRV03,1197.17,211.076
NRCCNRV03,1199.87,1055.38
NRCCNRV03,1201.52,2110.76
NRCCNRV03,1202.54,3166.14
NRCCNRV03,1203.39,4221.52
NRCCNRV03,1205.69,8043.97
NRCCNRV03,1207.1,10911.5
NRCCNRV03,1208.64,14597.7
NRCCNRV03,1209.62,17299.2
NRCCNRV03,1210.56,20165
NRCCNRV03,1211.42,22982.8
NWLNTCR02,833.451,0
NWLNTCR02,835.607,194.584
NWLNTCR02,836.608,372.923
NWLNTCR02,837.333,520.185
NWLNTCR02,838.205,733.839
NWLNTCR02,838.655,868.388
NWLNTCR02,839.291,1069.33
NWLNTCR02,839.833,1260.38
SHLRK01,911.742,0
SHLRK01,928.055,8595.77
SHLRK01,928.199,16195.2
SHLRK01,928.35,21526.2
SHLRK01,929.961,28435.4
SHLRK01,930.561,33844.1
SHLRK01,931.214,39593.2
SHLRK01,932.07,45679.7
SHLRK02,922.585,0
SHLRK02,934.436,7782.96
SHLRK02,937.618,14663.8
SHLRK02,939.15,19490.7
SHLRK02,940.823,25746.5
SHLRK02,941.906,30643.8
SHLRK02,942.923,35849.3
SHLRK02,943.858,41360.2
SHLRK03,943.133,0
